USB RF Gateway v.0.1 BOM
Qty;Value;Device;Package;Parts;Description;;
1;Blue;LED0603;LED-0603;D2;LED (Generic);;
1;100nF;C-EUC0603;C0603;C7;CAPACITOR, European symbol;;
1;10K;R-EU_R0603;R0603;R1;RESISTOR, European symbol;;
3;10uF;C-EUC0805;C0805;C3, C4, C6;CAPACITOR, European symbol;;
1;1uF;C-EUC0603;C0603;C5;CAPACITOR, European symbol;;
2;20pF;C-EUC0603;C0603;C1, C2;CAPACITOR, European symbol;;
1;330 Ohm;R-EU_R0603;R0603;R2;RESISTOR, European symbol;;
1;868MHz;RFM69HCW-868;RFM69HCW-XXXS2;U1;Hope RF RFM69H ISM Transceiver Module;;
1;ECS-160-12-37B-CTN-TR;ECS-160-12-37B-CTN-TR;ECS-160-12-37B-CTN;U$1;;;
1;LDS3985M33R;LDS3985M33R;SOT95P280X145-5N;IC1;STMicroelectronics LDS3985M33R, Single Low Dropout Voltage Regulator, 300mA 3.3 V, 5-Pin SOT-23;;
1;MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM;MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM;TACTILE_SWITCH_SMD_6.0X3.5MM;S1;Momentary Switch (Pushbutton) - SPST;;
1;NRF24L01+NRF24L01+MINI;NRF24L01+NRF24L01+MINI;NRF24L01+MINI;U$2;nRF24L01+ Transceiver Module;;
1;STMF042G6U6;STMF042G6U6;STM32F042_UFQPN28_4X4MM;U$3;;;
1;USBLC6-2SC6Y;USBLC6-2SC6Y;SOT95P280X145-6N;D1;Low Cap. ESD Protection Auto SOT-23-6 STMicroelectronics USBLC6-2SC6Y, Dual Uni-Directional TVS Diode Array, 6-Pin SOT-23;;
1;USB_A_PTH_MALE;USB_A_PTH_MALE;USB-A-H;J3;USB-A Connector;;
